nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
retraite,betagouv,GitHub,https://github.com/betagouv/retraite,Service pour obtenir une liste personnalisée de ses démarches de retraite.,False,2016-03-09T16:51:40Z,2017-01-16T13:11:46Z,https://retraite.beta.gouv.fr/,1,0,,1,JavaScript,
api-cpa,betagouv,GitHub,https://github.com/betagouv/api-cpa,API pour le CPA,False,2016-03-31T15:07:23Z,2019-03-26T20:30:12Z,http://cpa.api.gouv.fr,0,1,,1,JavaScript,
taux-collectifs-cotisation-atmp,betagouv,GitHub,https://github.com/betagouv/taux-collectifs-cotisation-atmp,Taux collectifs de cotisation AT/MP,False,2016-04-13T16:20:51Z,2018-11-03T11:51:02Z,,1,0,,1,,
mes-aides-analytics,betagouv,GitHub,https://github.com/betagouv/mes-aides-analytics,Analyse de données sur les usages de Mes Aides,False,2016-04-25T10:13:13Z,2018-11-07T07:12:56Z,,0,0,,0,HTML,
mpal,betagouv,GitHub,https://github.com/betagouv/mpal,Mon projet Anah (agence nationale de l’habitat),False,2016-05-18T06:15:50Z,2018-08-24T13:17:04Z,https://monprojet.anah.gouv.fr,12,12,GNU Affero General Public License v3.0,0,HTML,
syso,betagouv,GitHub,https://github.com/betagouv/syso,mycompanyinfrance.fr & embauche.beta.gouv.fr,False,2016-06-15T14:04:11Z,2019-04-23T10:12:22Z,,30,8,MIT License,96,JavaScript,"france,law,rule-engine,simulation-framework,social-security"
boussole,betagouv,GitHub,https://github.com/betagouv/boussole,"Accède au conseil qualifié d'un·e professionnel·le, près de chez toi, pour t'aider dans tes projets de formation, de logement, d'activité et de santé",False,2016-06-28T16:23:24Z,2017-04-07T12:33:38Z,https://boussole.beta.gouv.fr,3,4,,1,Ruby,
etudiant-entrepreneur,betagouv,GitHub,https://github.com/betagouv/etudiant-entrepreneur,Faciliter l'accès au statut Etudiant entrepreneur et à ses bénéfices,False,2016-06-30T13:04:29Z,2018-05-28T08:17:09Z,,3,6,,0,JavaScript,
pix,betagouv,GitHub,https://github.com/betagouv/pix,Plateforme d'évaluation et de certification des compétences numériques à l'usage de tous les citoyens francophones.,False,2016-07-11T12:31:15Z,2019-02-11T15:12:38Z,https://pix.beta.gouv.fr,47,13,,0,JavaScript,"assessment,competences,digital,emberjs"
api-medicaments,betagouv,GitHub,https://github.com/betagouv/api-medicaments,Base de données publique officielle des médicaments de l'Agence nationale de sécurité du médicament et des produits de santé,False,2016-07-19T08:35:33Z,2019-04-01T16:16:43Z,,17,11,,6,JavaScript,
verif.site,betagouv,GitHub,https://github.com/betagouv/verif.site,Liste les méta-données techniques des sites de l'incubateur,False,2016-07-29T08:09:55Z,2018-07-20T09:15:30Z,https://verif.site,5,3,,4,JavaScript,
mes-aides-ops,betagouv,GitHub,https://github.com/betagouv/mes-aides-ops,Stack setup for Mes Aides,False,2016-08-14T08:48:57Z,2019-03-18T14:52:10Z,,0,1,,7,Puppet,
domain-scan,betagouv,GitHub,https://github.com/betagouv/domain-scan,"A standard pipeline for running open source scanning tools on domains to measure things like speed, accessibiity, and HTTPS.",True,2016-08-22T12:01:05Z,2018-07-20T09:37:06Z,,0,0,Other,0,Python,
betaGouvBot,betagouv,GitHub,https://github.com/betagouv/betaGouvBot,Automated assistant for beta.gouv.fr administrative tasks on slack.,False,2016-08-31T20:55:18Z,2019-04-18T13:54:04Z,https://beta.gouv.fr,3,7,MIT License,16,Ruby,
openfisca-cd62,betagouv,GitHub,https://github.com/betagouv/openfisca-cd62,Formules openfisca pour le conseil départemental du Pas de Calais.,False,2016-09-12T16:23:18Z,2016-09-12T16:24:25Z,,0,0,GNU Affero General Public License v3.0,0,Python,
